MomenTUM.A1ModJulian,MomenTUM.Phobos.RMAG
31347.01083277865,211928496.2693252
31347.0177772231,211917300.2686549
31347.02472166755,211906177.8122734
31347.03166611199,211895148.1097365
31347.03861055644,211884228.9065753
31347.04555500088,211873436.1312256
31347.05249944532,211862783.557271
31347.05944388977,211852282.4899133
31347.06638833421,211841941.486277
31347.07333277865,211831766.1198553
31347.0802772231,211821758.7989779
31347.08722166755,211811918.6488681
31347.09416611199,211802241.4652981
31347.10111055644,211792719.74622
31347.10805500088,211783342.8050064
31347.11499944532,211774096.965725
31347.12194388977,211764965.8377337
31347.12888833421,211755930.6629367
31347.13583277865,211746970.7260553
31347.1427772231,211738063.8151613
31347.14972166755,211729186.7177827
31347.15666611199,211720315.7364062
31347.16361055644,211711427.2069194
31347.17055500088,211702498.0042476
31347.17749944532,211693506.0206701
31347.18444388977,211684430.6045906
31347.19138833421,211675252.9499961
31347.19833277865,211665956.4296813
31347.2052772231,211656526.8680932
31347.21222166755,211646952.7521544
31347.21916611199,211637225.3807218
31347.22611055644,211627338.955052
31347.23305500088,211617290.6139972
31347.23999944532,211607080.4185824
31347.24694388977,211596711.2910143
31347.25388833421,211586188.912469
31347.26083277865,211575521.5861807
31347.2677772231,211564720.0678672
31347.27472166755,211553797.3675953
31347.28166611199,211542768.5290893
31347.28861055644,211531650.3856853
31347.29555500088,211520461.295994
31347.30249944532,211509220.8610519
31347.30944388977,211497949.62448
31347.31638833421,211486668.7566566
31347.32333277865,211475399.7244
31347.3302772231,211464163.9478585
31347.33722166755,211452982.4471485
31347.34416611199,211441875.481825
31347.35111055644,211430862.1873057
31347.35805500088,211419960.2136367
31347.36499944532,211409185.3728963
31347.37194388977,211398551.3029582
31347.37888833421,211388069.156262
31347.38583277865,211377747.3231508
31347.3927772231,211367591.1997945
31347.39972166755,211357603.0106212
31347.40666611199,211347781.6946406
31347.41361055644,211338122.8636702
31347.42055500088,211328618.8385138
31347.42749944532,211319258.7665905
31347.43444388977,211310028.8214234
31347.44138833421,211300912.4808087
31347.44833277865,211291890.8772134
31347.4552772231,211282943.2104193
31347.46222166755,211274047.209751
31347.46916611199,211265179.630946
31347.47611055644,211256316.7717713
31347.48305500088,211247434.9901493
31347.48999944532,211238511.2089665
31347.49694388977,211229523.3926168
31347.50388833421,211220450.9812769
31347.51083277865,211211275.2811595
31347.5177772231,211201979.7937064
31347.52472166755,211192550.4853277
31347.53166611199,211182975.9954033
31347.53861055644,211173247.7827132
31347.54555500088,211163360.2129818
31347.55249944532,211153310.5912097
31347.55944388977,211143099.1434179
31347.56638833421,211132728.9528167
31347.57333277865,211122205.8554394
31347.5802772231,211111538.2999821
31347.58722166755,211100737.1763307
31347.59416611199,211089815.6164227
31347.60111055644,211078788.7706893
31347.60805500088,211067673.5625764
31347.61499944532,211056488.4231901
31347.62194388977,211045253.007724
31347.62888833421,211033987.8948581
31347.63583277865,211022714.2705461
31347.6427772231,211011453.5975325
31347.64972166755,211000227.2723497
31347.65666611199,210989056.2722034
31347.66361055644,210977960.7948526
31347.67055500088,210966959.8956885
31347.67749944532,210956071.127188
31347.68444388977,210945310.1873624
31347.69138833421,210934690.5847617
31347.69833277865,210924223.3287539
31347.7052772231,210913916.6547409
31347.71222166755,210903775.7943132
31347.71916611199,210893802.800241
31347.72611055644,210883996.4357598
31347.73305500088,210874352.1361162
31347.73999944532,210864862.0483974
31347.74694388977,210855515.1531717
31347.75388833421,210846297.4684589
31347.76083277865,210837192.3318084
31347.7677772231,210828180.7549441
31347.77472166755,210819241.8401854
31347.78166611199,210810353.2459662
31347.78861055644,210801491.6862295
31347.79555500088,210792633.4474892
31347.80249944532,210783754.9069928
31347.80944388977,210774833.0363145
31347.81638833421,210765845.8759892
31347.82333277865,210756772.9692594
31347.8302772231,210747595.745482
31347.83722166755,210738297.8465793
31347.84416611199,210728865.3927393
31347.85111055644,210719287.1860441
31347.85805500088,210709554.8528756
31347.86499944532,210699662.9277228
31347.87194388977,210689608.8822503
31347.87888833421,210679393.1042477
31347.88583277865,210669018.831421
31347.8927772231,210658492.0451319
31347.89972166755,210647821.3288219
31347.90666611199,210637017.6953053
31347.91361055644,210626094.3867669
31347.92055500088,210615066.6504952
31347.92749944532,210603951.4927668
31347.93444388977,210592767.4129859
31347.94138833421,210581534.1194821
31347.94833277865,210570272.2283704
31347.9552772231,210559002.9466168
31347.96222166755,210547747.740867
31347.96916611199,210536527.9936824
31347.97611055644,210525364.6496442
31347.98305500088,210514277.8546461
31347.98999944532,210503286.5925338
31347.99694388977,210492408.3243545
31348.00042863868,210486997.1246706
31348.00737308312,210476278.2459536
31348.01431752757,210465627.0274707
31348.02126197201,210455049.3146391
31348.02538055837,210448811.8465498
31348.02607500281,210447763.2319897
31348.02773775193,210445259.2572556
31348.03134684243,210439857.2958551
31348.03873526941,210428940.0138974
31348.05144959209,210410590.6030645
31348.07095892881,210383416.8588928
31348.09938718216,210345344.310867
31348.14047607738,210290815.3403861
31348.1898535469,210220709.2716591
31348.25568281858,210115863.6520975
31348.35790056553,209952138.9416081
31348.48523320942,209778626.910264
31348.63570959035,209538810.9550264
31348.82079986041,209278136.1468141
31349.04192972273,208934910.5210685
31349.4059308863,208398700.8100171
31349.74284438504,207897785.9607101
31350.09658607074,207371634.6068822
31350.50356396455,206754162.3228999
31350.9489695775,206082746.944642
31351.4913229024,205271074.0544594
31352.04343617785,204456893.448893
31352.65419482562,203542640.211471
31353.25026291777,202645697.1748806
31353.97745761721,201554024.913916
31354.69951952808,200456810.0273169
31355.52106585884,199237907.0847012
31356.38604119054,197924944.2771595
31357.38604119054,196426972.8864713
31358.38604119054,194925210.7797222
31359.38604119054,193417009.5091726
31360.38604119054,191903511.2675755
31361.38604119054,190388826.6851462
31362.38604119054,188877705.9366814
31363.38604119054,187372646.3166828
31364.38604119054,185872041.022763
31365.38604119054,184371340.632389
31366.02538055837,183408424.9421493
31366.02541909631,183408370.6373458
31366.02544247967,183408337.7075993
31366.02613692411,183407359.2948413
31366.02799342371,183404736.8358849
31366.03259776974,183398188.9155018
31366.04383378803,183381933.5853441
31366.07303766168,183337746.4688958
31366.13845294785,183230781.4213272
31366.28792884477,183005058.4144448
31366.63590283681,182486740.5795843
31367.45383197625,181247462.6759713
31368.45383197625,179743259.6184506
31369.45383197625,178246516.1732637
31370.45383197625,176755080.9617763
31371.45383197625,175264264.0794928
31372.45383197625,173770484.8488401
31373.45383197625,172273703.880081
31374.45383197625,170777292.2848514
31375.45383197625,169286083.0165335
31376.45383197625,167803535.9426036
31377.45383197625,166329332.2349304
31378.45383197625,164859494.4001118
31379.45383197625,163389501.0887169
31380.45383197625,161917596.583607
31381.45383197625,160445777.6899985
31382.45383197625,158978521.4188612
31383.45383197625,157520233.6492825
31384.45383197625,156072417.8328343
31385.45383197625,154632442.7772984
31386.45383197625,153195522.3698566
31387.45383197625,151758377.2252662
31388.45383197625,150321377.4089741
31389.45383197625,148888142.5091099
31390.45383197625,147463445.1236084
31391.45383197625,146050329.669519
31392.45383197625,144647896.9530152
31393.45383197625,143251840.3820675
31394.45383197625,141857782.0367661
31395.45383197625,140464383.6898799
31396.45383197625,139074006.8221693
31397.45383197625,137691226.4354404
31398.45383197625,136320166.5448733
31399.45383197625,134961743.2022217
31400.45383197625,133612798.0116759
31401.45383197625,132268471.4314922
31402.45383197625,130925839.3509404
31403.45383197625,129585724.84178
31404.45383197625,128252003.9891082
31405.45383197625,126929337.7179355
31406.45383197625,125620262.5057579
31407.45383197625,124323228.7516973
31408.45383197625,123033611.6159396
31409.45383197625,121747245.3107213
31410.45383197625,120463281.4282679
31411.45383197625,119184483.9554699
31412.45383197625,117915504.6879381
31413.45383197625,116660105.1131585
31414.45383197625,115418523.976893
31415.45383197625,114187058.7240742
31416.45383197625,112960845.1557954
31417.45383197625,111737411.4239367
31418.45383197625,110518099.7524784
31419.45383197625,109307052.5433002
31420.45383197625,108108757.2908364
31421.45383197625,106925140.966521
31422.45383197625,105753950.4557171
31423.45383197625,104590295.1411878
31424.45383197625,103430332.9354816
31425.45383197625,102273800.0846957
31426.45383197625,101123902.5483383
31427.45383197625,99985331.16675697
31428.45383197625,98861383.34250998
31429.45383197625,97751531.61779079
31430.45383197625,96651547.86512648
31431.45383197625,95556675.15496682
31432.45383197625,94465015.37304994
31433.45383197625,93378499.49944976
31434.45383197625,92301526.2512033
31435.45383197625,91238317.92745203
31436.45383197625,90190075.96741857
31437.45383197625,89153814.92371389
31438.45383197625,88124473.01029103
31439.45383197625,87098674.1382335
31440.45383197625,86076840.62237287
31441.45383197625,85062640.69614623
31442.45383197625,84060729.2439582
31443.45383197625,83073810.08022268
31444.45383197625,82100509.74087192
31445.45383197625,81136132.15313984
31446.45383197625,80176178.60113454
31447.45383197625,79219458.88216223
31448.45383197625,78268545.54079399
31449.45383197625,77328043.05412444
31450.45383197625,76401778.28053722
31451.45383197625,75490103.36198042
31452.45383197625,74589303.74509364
31453.45383197625,73694286.68752888
31454.45383197625,72802307.93779244
31455.45383197625,71914564.59766032
31456.45383197625,71035167.79257961
31457.45383197625,70168616.42867114
31458.45383197625,69316865.63668489
31459.45383197625,68477636.19279863
31460.45383197625,67645871.75704023
31461.45383197625,66817519.32757899
31462.45383197625,65992226.54896671
31463.45383197625,65173224.28691784
31464.45383197625,64365222.449896
31465.45383197625,63571481.87674957
31466.45383197625,62791385.12647267
31467.45383197625,62020542.31735347
31468.45383197625,61254019.66729158
31469.45383197625,60489878.2994009
31470.45383197625,59730149.56126464
31471.45383197625,58979315.5796319
31472.45383197625,58241548.40536639
31473.45383197625,57517884.7823822
31474.45383197625,56805123.68739598
31475.45383197625,56098016.58384859
31476.45383197625,55393168.03909144
31477.45383197625,54691173.75041549
31478.45383197625,53995888.26008739
31479.45383197625,53311966.8180308
31480.45383197625,52641902.70020331
31481.45383197625,51984018.16490053
31482.45383197625,51333368.07151795
31483.45383197625,50685412.84019747
31484.45383197625,50039185.3379418
31485.45383197625,49397562.6764664
31486.45383197625,48765259.96751858
31487.45383197625,48145906.25623708
31488.45383197625,47539462.15113094
31489.45383197625,46941854.27367243
31490.45383197625,46347874.8625798
31491.45383197625,45755009.27172104
31492.45383197625,45164868.36980645
31493.45383197625,44581826.77070818
31494.45383197625,44010268.59402797
31495.45383197625,43451709.66295987
31496.45383197625,42903378.38483106
31497.45383197625,42359974.89617621
31498.45383197625,41817623.94739196
31499.45383197625,41276462.90261726
31500.45383197625,40740156.44772135
31501.45383197625,40213448.88254887
31502.45383197625,39699181.90197375
31503.45383197625,39196124.4549788
31504.45383197625,38699470.98878653
31505.45383197625,38204347.46749296
31506.45383197625,37709325.00055823
31507.45383197625,37217028.99176946
31508.45383197625,36732175.29302599
31509.45383197625,36258616.19937308
31510.45383197625,35796703.40186463
31511.45383197625,35342630.21987767
31512.45383197625,34891026.23641825
31513.45383197625,34438953.98704673
31514.45383197625,33987726.07428057
31515.45383197625,33541654.07301974
31516.45383197625,33105248.45221984
31517.45383197625,32680323.37935792
31518.45383197625,32264424.49374726
31519.45383197625,31852256.23708538
31520.45383197625,31439603.74530726
31521.45383197625,31026276.78308008
31522.45383197625,30615826.95079585
31523.45383197625,30213058.592613
31524.45383197625,29821017.46936429
31525.45383197625,29438773.85270721
31526.45383197625,29061657.09119063
31527.45383197625,28684574.15726865
31528.45383197625,28305764.09752329
31529.45383197625,27927693.60577209
31530.45383197625,27555094.02765264
31531.45383197625,27191948.10534507
31532.45383197625,26838853.16857963
31533.45383197625,26492213.37693186
31534.45383197625,26146576.7070516
31535.45383197625,25798704.2396743
31536.45383197625,25449705.59984396
31537.45383197625,25103872.28819479
31538.45383197625,24765797.89375464
31539.45383197625,24437476.63754515
31540.45383197625,24116685.88657899
31541.45383197625,23798175.58372932
31542.45383197625,23477500.15326012
31543.45383197625,23154230.35775699
31544.45383197625,22831857.74072724
31545.45383197625,22515242.31398485
31546.45383197625,22207555.51340133
31547.45383197625,21908079.92232508
31548.45383197625,21612286.52240625
31549.45383197625,21314954.06344148
31550.45383197625,21014069.25449737
31551.45383197625,20711988.12165463
31552.45383197625,20413474.05146565
31553.45383197625,20122602.17894206
31554.45383197625,19840144.39941791
31555.45383197625,19562701.17130427
31556.45383197625,19284808.8916202
31557.45383197625,19002999.00254926
31558.45383197625,18718213.05419235
31559.45383197625,18434740.16781933
31560.45383197625,18157249.0289754
31561.45383197625,17887872.52322374
31562.45383197625,17624600.12811848
31563.45383197625,17362279.03493493
31564.45383197625,17096298.92220757
31565.45383197625,16826012.69069379
31566.45383197625,16554855.44506066
31567.45383197625,16287745.85710545
31568.45383197625,16027970.81596315
31569.45383197625,15775015.43395791
31570.45383197625,15524530.910978
31571.45383197625,15271231.38990456
31572.45383197625,15012864.41362944
31573.45383197625,14751655.37380714
31574.45383197625,14492395.88898391
31575.45383197625,14239263.57785607
31576.45383197625,13993214.23693924
31577.45383197625,13751078.74353288
31578.45383197625,13507443.8742799
31579.45383197625,13258627.46741507
31580.45383197625,13005360.05965928
31581.45383197625,12751901.87203985
31582.45383197625,12503010.82321443
31583.45383197625,12260986.70555922
31584.45383197625,12024069.8285176
31585.45383197625,11787265.93382877
31586.45383197625,11545827.21578739
31587.45383197625,11298834.60903839
31588.45383197625,11049607.77783412
31589.45383197625,10803124.53400714
31590.45383197625,10562826.0698214
31591.45383197625,10328448.91480435
31592.45383197625,10095887.70403827
31593.45383197625,9859832.929940907
31594.45383197625,9617745.249198083
31595.45383197625,9371630.610117737
31596.45383197625,9126278.138196496
31597.45383197625,8886004.788312929
31598.45383197625,8652009.811227411
31599.45383197625,8421421.001785837
31600.45383197625,8188929.842188749
31601.45383197625,7950614.28069146
31602.45383197625,7706889.473680091
31603.45383197625,7461915.906841706
31604.45383197625,7220557.55216997
31605.45383197625,6985347.236690306
31606.45383197625,6754847.678268824
31607.45383197625,6524286.428682456
31608.45383197625,6288782.133621947
31609.45383197625,6047045.691234461
31610.45383197625,5802171.353864722
31611.45383197625,5559176.445467784
31612.45383197625,5321718.338685492
31613.45383197625,5089863.27947104
31614.45383197625,4859816.771755787
31615.45383197625,4626277.895510001
31616.45383197625,4386351.532253334
31617.45383197625,4141687.897400258
31618.45383197625,3897004.915854338
31619.45383197625,3656799.496096541
31620.45383197625,3422598.071837964
31621.45383197625,3191895.565552439
31622.45383197625,2959536.476365906
31623.45383197625,2721333.130427584
31624.45383197625,2477246.102726301
31625.45383197625,2231201.748699345
31626.02544247967,2105689.799546919
31626.03238692411,2103072.543272696
31626.04718000221,2097196.312991315
31626.08255187372,2082571.875896465
31626.17551133153,2056031.829687095
31626.42539892384,1997213.696044538
31626.98123103212,1877580.41106225
31627.85140693493,1668725.665981055
31628.7638805602,1443046.993080898
31629.52599671915,1270221.473335493
31630.18131944576,1111136.963469259
31630.75054658791,978486.7747104784
31631.24374945084,842704.2995327009
31631.67062777871,753650.9331693534
31632.04162731698,669489.9732153405
31632.36342606065,592190.3076368668
31632.64275435557,522331.8787969168
31632.88629389733,451296.5931378229
31633.09867870104,403015.7603675901
31633.28435852008,368048.2029093534
31633.44696367261,314670.5663065171
31633.58958312421,292259.8987431558
31633.71488694625,257760.1993336494
31633.82514785113,221966.3267066707
31633.92232517833,213091.5938982717
31634.00809336202,190576.2264966404
31634.08389676056,159803.140268236
31634.15099184275,142764.1628852705
31634.21045256231,137578.7260231647
31634.26321688089,131045.4301117213
31634.31009811678,118301.9883505465
31634.3518052844,102051.0658472059
31634.38894946201,86443.30274087301
31634.42206995994,74241.35649824726
31634.45163751097,66275.82378793128
31634.47805950841,61790.69352756815
31634.50169835445,59327.25828901511
31634.5251998773,57406.31525493766
31634.54391714858,55626.15391603913
31634.56254481968,53223.14664266758
31634.5774608096,50679.20022741928
31634.59229893433,47536.41514781576
31634.60424531033,44559.70185532053
31634.61612531645,41227.86854377631
31634.62574103227,38287.82032078649
31634.6353014038,35181.69441675543
31634.64308145096,32546.07927432427
31634.65081408294,29857.79674385913
31634.65714453732,27627.43880261386
31634.6634342241,25406.9291609355
31634.66917901765,23396.19528675883
31634.67436015575,21617.5651748241
31634.67903127988,20061.53613502907
31634.68325050637,18712.63386443328
31634.68707082036,17554.09645592539
31634.69053945662,16568.96458959966
31634.69369799073,15740.62411756992
31634.69658148566,15053.33876218725
31634.69921959197,14492.07660585499
31634.70163273201,14043.20776691488
31634.70383289722,13693.81297238643
31634.70582225161,13431.35350842059
31634.7076135304,13241.19756801923
31634.70922745205,13108.84335059065
31634.71069011083,13021.42815724269
31634.7120300826,12968.51034148712
31634.71327107042,12942.26755248371
31634.71443494477,12936.85656020036
31634.71553780134,12947.97867969232
31634.71660613592,12972.76277188267
31634.71766038741,13009.519356167
31634.71868624807,13055.73984181785
31634.71964325542,13107.02222618396
31634.72054113363,13161.41111609257
31634.72140872065,13219.07922209944
31634.72173301307,13241.82560896566
31634.72161727233,13233.63552494978
31634.72146806601,13223.19480696266
31634.72125453716,13208.4864525955
31634.72099638495,13191.07848548584
31634.72064065261,13167.78135459487
31634.72009238634,13133.51723148435
31634.71948653002,13098.1281492726
31634.71886679241,13064.84419313214
31634.71824053776,13034.47481046293
31634.71760202947,13007.18761180766
31634.7169550951,12983.64051644793
